Nom	Heures_Ouverture	Services	Tarifs	Liens
Le Biergarten	"Ouverture
Lundi

17:00 - 02:00

Mardi

17:00 - 02:00

Mercredi

17:00 - 02:00

Jeudi

17:00 - 02:00

Vendredi

17:00 - 02:00

Samedi

17:00 - 02:00

Dimanche

17:00 - 02:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Concerts / Musique Live', 'DJ Mix']	"Happy HourStandard
Blonde De Monaco
(50cl)
- 
9,00 €

Blanche De Monaco
(50cl)
- 
9,00 €
 Pale Ale
(50cl)
- 
9,00 €
 Wheat Beer
(50cl)
- 
9,00 €

aaaaaaaaaaaa 
7,00 €

4,00 €

aaaaaaaaaaaaaaaaaaa 
5,00 €

7,00 €

aaaaaaaaaaaaaaa 
7,00 €

2,00 €

aaaaaaaaaaaaaaaaaa 
1,00 €

8,00 €

aaaaaaaaaaaaaaaaa 
4,00 €

4,00 €

aaaaaaaaaaaa 
3,00 €

6,00 €

aaaaaaaaaaa 
1,00 €

4,00 €

aaaaaaaaaaa 
1,00 €

4,00 €

aaaaaaaaaaaaaaa 
3,00 €

5,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/le-biergarten
Café Oz	"Ouverture
Lundi

16:00 - 02:00

Mardi

16:00 - 02:00

Mercredi

16:00 - 02:00

Jeudi

16:00 - 02:00

Vendredi

16:00 - 02:00

Samedi

14:00 - 03:00

Dimanche

14:00 - 02:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Concerts / Musique Live', 'DJ Mix']	"Happy HourStandardFoster's(50cl)
5,00 €

- Cocktail
7,50 €

-  Ricard
(2cl)
- 
5,00 €
 Jameson Black Barrel
(4cl)
- 
12,00 €

aaaaaaaaaaaaaaaaa 
4,00 €

8,00 €

aaaaaaaaaaaaaa 
4,00 €

7,00 €

aaaaaaaaaaaaaaaaaaaaa 
5,00 €

4,00 €

aaaaaaaaaaaaaa 
2,00 €

7,00 €

aaaaaaaaaaaaaaa 
3,00 €

1,00 €

aaaaaaaaaaaaaaaaaa 
7,00 €

6,00 €

aaaaaaaaaaaaaaaaaaaaa 
5,00 €

2,00 €

aaaaaaaaaaaaaaaaaa 
7,00 €

4,00 €

aaaaaaaaaaaaa 
6,00 €

1,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/cafe-oz-2
The Frog & Rosbif	"Ouverture
Lundi

17:00 - 00:00

Mardi

17:00 - 01:00

Mercredi

17:00 - 01:00

Jeudi

17:00 - 02:00

Vendredi

17:00 - 02:00

Samedi

17:00 - 03:00

Dimanche

17:00 - 00:00"	['Terrasse', 'Restauration', 'Vente à emporter', 'Wifi gratuit', 'Diffusion de matchs', '🌬 Air climatisé', 'Accès & Toilettes Handicapés', 'Concerts / Musique Live', 'DJ Mix', 'Chiens acceptés', 'Jeux de société']	"Happy HourStandardAutre bière(50cl)
5,00 €

7,50 €

Beefeater
(4CL)
6,00 €

8,50 €
 Mai Thai
(verre)
8,50 €

11,00 €
 Ricard
(CL)
3,00 €

3,00 €

aaaaaaaaaaaaaaaaa 
3,00 €

2,00 €

aaaaaaaaaaaaaaaaaaa 
8,00 €

1,00 €

aaaaaaaaaaaaaaaaaaaaa 
1,00 €

3,00 €

aaaaaaaaaaaaaaaaaa 
6,00 €

8,00 €

aaaaaaaaaaaa 
1,00 €

2,00 €

aaaaaaaaaaaaaaa 
8,00 €

5,00 €

aaaaaaaaaaaaaaaaaaaa 
7,00 €

2,00 €

aaaaaaaaaaaaaa 
5,00 €

4,00 €

aaaaaaaaaaaaaaa 
7,00 €

8,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/the-frog-rosbif-2
The Petit London	"Ouverture
Lundi

11:00 - 02:00

Mardi

11:00 - 02:00

Mercredi

11:00 - 02:00

Jeudi

11:00 - 02:00

Vendredi

11:00 - 02:00

Samedi

17:00 - 03:00

Dimanche

11:00 - 02:00"	['Terrasse', 'Restauration', 'Concerts / Musique Live']	"Happy HourStandardBière(50cl)
3,00 €

- Pastis
1,50 €

- 
aaaaaaaaaaaaaaaaaa 
5,00 €

1,00 €

aaaaaaaaaaaaaaaaa 
1,00 €

7,00 €

aaaaaaaaaaaaaaa 
1,00 €

5,00 €

aaaaaaaaaaaaaaaaaaaa 
4,00 €

2,00 €

aaaaaaaaaaaaaaaa 
4,00 €

1,00 €

aaaaaaaaaaaaaaaaaaaa 
2,00 €

3,00 €

aaaaaaaaaaaaaaaaa 
3,00 €

2,00 €

aaaaaaaaaaaaaaaaaa 
5,00 €

8,00 €

aaaaaaaaaaaaaaaa 
7,00 €

3,00 €

aaaaaaaaaaaaaaaaaaa 
2,00 €

1,00 €

aaaaaaaaaaaaaaaaaaaa 
7,00 €

2,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/the-petit-london
The Danu	"Ouverture
Lundi

10:00 - 02:00

Mardi

10:00 - 02:00

Mercredi

10:00 - 02:00

Jeudi

10:00 - 02:00

Vendredi

10:00 - 02:00

Samedi

10:00 - 03:00

Dimanche

10:00 - 02:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Concerts / Musique Live', 'DJ Mix']	"Happy HourStandardCharlie Wells(50cl)
4,70 €

- Charlie Wells IPA(50cl)
4,70 €

- 
aaaaaaaaaaaaaaaaaa 
8,00 €

3,00 €

aaaaaaaaaaaaaaaa 
5,00 €

6,00 €

aaaaaaaaaaaaaa 
1,00 €

7,00 €

aaaaaaaaaaaaaaaaa 
3,00 €

3,00 €

aaaaaaaaaaaaaaaaaaaaa 
7,00 €

4,00 €

aaaaaaaaaaaaaaa 
1,00 €

2,00 €

aaaaaaaaaaaaaaaa 
2,00 €

8,00 €

aaaaaaaaaaaaaaaaaaaa 
4,00 €

8,00 €

aaaaaaaaaaaaaaaa 
4,00 €

4,00 €

aaaaaaaaaaaaaaaaaaaa 
1,00 €

7,00 €

aaaaaaaaaaaaaaaaa 
8,00 €

7,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/the-danu
Snapper Rock	"Ouverture
Lundi

17:30 - 04:00

Mardi

17:30 - 04:00

Mercredi

17:30 - 04:00

Jeudi

17:30 - 04:00

Vendredi

17:30 - 04:00

Samedi

17:30 - 04:00

Dimanche

17:30 - 04:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Concerts / Musique Live', 'DJ Mix']	"Happy HourStandardBière(25cl)
3,00 €

- Bière(50cl)
5,00 €

- 
aaaaaaaaaaaaa 
2,00 €

3,00 €

aaaaaaaaaaaaaaa 
1,00 €

1,00 €

aaaaaaaaaaaaaaaaa 
2,00 €

8,00 €

aaaaaaaaaaaa 
1,00 €

7,00 €

aaaaaaaaaaa 
5,00 €

4,00 €

aaaaaaaaaaa 
7,00 €

4,00 €

aaaaaaaaaaaaaaaaaaa 
8,00 €

6,00 €

aaaaaaaaaaaaaaaaaaaa 
2,00 €

8,00 €

aaaaaaaaaaaaa 
4,00 €

1,00 €

aaaaaaaaaaaaaaaaaaaa 
3,00 €

1,00 €

aaaaaaaaaaaaaa 
5,00 €

2,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/snapper-rock
The Hopscotch	"Ouverture
Lundi

16:00 - 02:00

Mardi

16:00 - 02:00

Mercredi

16:00 - 02:00

Jeudi

16:00 - 02:00

Vendredi

16:00 - 02:00

Samedi

16:00 - 03:00

Dimanche

16:00 - 00:00"	['Terrasse', 'Restauration', 'Wifi gratuit', 'Diffusion de matchs', '🌬 Air climatisé', 'Concerts / Musique Live', 'DJ Mix', 'Chiens acceptés', 'Jeux de société']	"Happy HourStandardBrewdog(50cl)
4,50 €

6,00 €
Bière(50cl)
4,50 €

6,50 €

aaaaaaaaaaaaaaaaaaaa 
6,00 €

7,00 €

aaaaaaaaaaaaaaaaaaaaa 
1,00 €

5,00 €

aaaaaaaaaaaaaaaaaaaa 
6,00 €

7,00 €

aaaaaaaaaaaaaaa 
4,00 €

7,00 €

aaaaaaaaaaaaaaa 
1,00 €

8,00 €

aaaaaaaaaaaa 
6,00 €

4,00 €

aaaaaaaaaaaaaaaaa 
7,00 €

8,00 €

aaaaaaaaaaaaaaaa 
6,00 €

3,00 €

aaaaaaaaaaaaaaaaa 
6,00 €

7,00 €

aaaaaaaaaaaaa 
2,00 €

3,00 €

aaaaaaaaaaaaaa 
7,00 €

5,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/the-hopscotch
Le Bistrologue	"Ouverture
Lundi

17:00 - 00:00

Mardi

17:00 - 02:00

Mercredi

17:00 - 02:00

Jeudi

17:00 - 02:00

Vendredi

17:00 - 02:00

Samedi

17:00 - 03:00

Dimanche

17:00 - 00:00"	['Terrasse', 'Restauration', 'Concerts / Musique Live']	"Happy HourStandardRicard
- 
2,50 €
Orangina
- 
3,50 €"	/fr/places/le-bistrologue
1862 Artybar	"Ouverture
Lundi

Fermé

Mardi

Fermé

Mercredi

21:30 - 05:00

Jeudi

21:30 - 05:00

Vendredi

21:30 - 06:00

Samedi

21:30 - 06:00

Dimanche

Fermé"	['Concerts / Musique Live', 'DJ Mix']	"Happy HourStandardMètre de shooters(JagerBomb)
10,00 €

- Affligem(50cl)
3,00 €

6,00 €"	/fr/places/1862-artybar
Kraken Paradise	"Ouverture
Lundi

17:00 - 00:00

Mardi

17:00 - 00:00

Mercredi

17:00 - 00:00

Jeudi

17:00 - 00:00

Vendredi

17:00 - 02:00

Samedi

17:00 - 03:00

Dimanche

17:00 - 00:00"	['Terrasse', 'Restauration', 'Concerts / Musique Live', 'DJ Mix', 'Chiens acceptés', 'Jeux de société']	"Happy HourStandardBière(50cl)
3,00 €

- Picon(50cl)
4,00 €

-"	/fr/places/kraken-paradise
MAD (Meet and Drink)	"Ouverture
Lundi

17:00 - 02:00

Mardi

17:00 - 02:00

Mercredi

17:00 - 02:00

Jeudi

17:00 - 02:00

Vendredi

17:00 - 03:00

Samedi

17:00 - 03:00

Dimanche

17:00 - 02:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Accès & Toilettes Handicapés', 'Fléchettes', 'Baby-Foot', 'Concerts / Musique Live', 'DJ Mix', 'Chiens acceptés', 'Jeux de société']	"Happy HourStandardKrombacher(50cl)
3,00 €

5,00 €"	/fr/places/mad-meet-and-drink
Le Delicatessen	"Ouverture
Lundi

17:00 - 02:00

Mardi

17:00 - 02:00

Mercredi

17:00 - 02:00

Jeudi

17:00 - 02:00

Vendredi

17:00 - 02:00

Samedi

18:00 - 03:00

Dimanche

17:00 - 02:00"	['Restauration']	"Happy HourStandardBière(50cl)
5,50 €

-"	/fr/places/le-delicatessen
Bar Martini Club	"Ouverture
Lundi

18:00 - 02:00

Mardi

18:00 - 02:00

Mercredi

18:00 - 02:00

Jeudi

18:00 - 02:00

Vendredi

18:00 - 02:00

Samedi

18:00 - 02:00

Dimanche

18:00 - 02:00"	['Restauration']	"Happy HourStandardVerre de vin(17cl)
2,50 €

-"	/fr/places/bar-martini-club
Borriquito Loco	"Ouverture
Lundi

20:00 - 02:00

Mardi

20:00 - 02:00

Mercredi

20:00 - 02:00

Jeudi

19:00 - 02:00

Vendredi

20:00 - 02:00

Samedi

20:00 - 03:00

Dimanche

Fermé"	['Restauration', 'Concerts / Musique Live', 'DJ Mix']	"Happy HourStandardSoft
2,00 €

-"	/fr/places/borriquito-loco
L'Autruche	"Ouverture
Lundi

17:00 - 02:00

Mardi

17:00 - 02:00

Mercredi

17:00 - 02:00

Jeudi

17:00 - 02:00

Vendredi

17:00 - 02:00

Samedi

17:00 - 03:00

Dimanche

Fermé"	['Restauration', 'Concerts / Musique Live']	"1 Rue André Mercadier, 31000 Toulouse
 +33 5 81 34 37 62
 Réserver une table"	/fr/places/lautruche
Sauvage Social Pub	"Ouverture
Lundi

02:00 - 00:00

Mardi

02:00 - 00:00

Mercredi

02:00 - 00:00

Jeudi

02:00 - 00:00

Vendredi

02:00 - 00:00

Samedi

02:00 - 00:00

Dimanche

02:00 - 00:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Accès & Toilettes Handicapés', 'Fléchettes', 'Jeux de société']	"11 Place Etienne Esquirol, 31000 Toulouse
Transports
A
 Esquirol
B
 Carmes"	/fr/places/sauvage-social-pub
Beer Mosaic	"Ouverture
Lundi

15:00 - 23:00

Mardi

15:00 - 23:00

Mercredi

15:00 - 23:00

Jeudi

15:00 - 23:00

Vendredi

15:00 - 23:00

Samedi

15:00 - 23:00

Dimanche

Fermé"	['Terrasse', 'Restauration', 'Vente à emporter', 'Accès & Toilettes Handicapés', 'Chiens acceptés']	"7bis Rue Pierre-Paul Riquet, 31000 Toulouse
Transports
B
 François Verdier +33 9 82 48 70 29
 Réserver une table"	/fr/places/beer-mosaic
L'Almanach Bistrot	"Ouverture
Lundi

Fermé

Mardi

17:30 - 02:00

Mercredi

17:30 - 02:00

Jeudi

17:30 - 02:00

Vendredi

17:30 - 02:00

Samedi

18:30 - 03:00

Dimanche

Fermé"	['Terrasse', 'Restauration']	"53 Rue de la République, 31300 Toulouse
 +33 9 83 87 52 70
 Réserver une table"	/fr/places/lalmanach-bistrot
Le Saint des Seins	"Ouverture
Lundi

17:00 - 01:45

Mardi

17:00 - 01:45

Mercredi

17:00 - 01:45

Jeudi

17:00 - 01:45

Vendredi

17:00 - 01:45

Samedi

16:00 - 00:00

Dimanche

Fermé"	['Terrasse', 'Diffusion de matchs', 'Concerts / Musique Live', 'DJ Mix']	"5 Place Saint-Pierre, 31000 Toulouse
 +33 5 61 22 11 39
 Réserver une table"	/fr/places/le-saint-des-seins
La Tireuse	"Ouverture
Lundi

17:00 - 02:00

Mardi

17:00 - 02:00

Mercredi

17:00 - 02:00

Jeudi

17:00 - 02:00

Vendredi

17:00 - 02:00

Samedi

17:00 - 03:00

Dimanche

17:00 - 02:00"	['Restauration', 'Vente à emporter', 'Wifi gratuit', 'Diffusion de matchs', '🌬 Air climatisé', 'Concerts / Musique Live', 'DJ Mix', 'Jeux de société']	"24 Rue Pargaminières, 31000 Toulouse
 +33 5 61 12 28 29
 Réserver une table"	/fr/places/la-tireuse
The London Town	"Ouverture
Lundi

16:00 - 01:50

Mardi

16:00 - 01:50

Mercredi

16:00 - 01:50

Jeudi

16:00 - 01:50

Vendredi

16:00 - 01:50

Samedi

15:00 - 02:50

Dimanche

15:00 - 00:50"	['Terrasse', 'Restauration', 'Diffusion de matchs']	"14 Rue des Prêtres, 31000 Toulouse
Transports
B
 Carmes +33 5 62 26 53 10
 Réserver une table"	/fr/places/the-london-town
La Tantina De Burgos	"Ouverture
Lundi

Fermé

Mardi

20:00 - 02:00

Mercredi

19:00 - 02:00

Jeudi

20:00 - 02:00

Vendredi

20:00 - 02:00

Samedi

20:00 - 03:00

Dimanche

Fermé"	['Terrasse', 'Restauration', 'Concerts / Musique Live']	"27 Avenue de la Garonnette, 31000 Toulouse
 +33 5 61 55 59 29
 Réserver une table"	/fr/places/la-tantina-de-burgos
Rooster & Beer	"Ouverture
Lundi

Fermé

Mardi

18:00 - 01:00

Mercredi

18:00 - 01:00

Jeudi

18:00 - 02:00

Vendredi

18:00 - 02:00

Samedi

18:00 - 03:00

Dimanche

Fermé"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Accès & Toilettes Handicapés', 'Concerts / Musique Live', 'Chiens acceptés']	"100 Rue Riquet, 31000 Toulouse
Transports
A
 Marengo-Sncf +33 7 68 25 18 30
 Réserver une table"	/fr/places/rooster-beer
Cacahuète	"Ouverture
Lundi

08:00 - 02:00

Mardi

08:00 - 02:00

Mercredi

08:00 - 02:00

Jeudi

08:00 - 02:00

Vendredi

08:00 - 02:00

Samedi

09:00 - 02:00

Dimanche

09:00 - 02:00"	['Terrasse', 'Restauration', 'Concerts / Musique Live', 'DJ Mix']	"Happy HourStandard
Caporal Blonde De Soif
(50cl)
- 
5,80 €

Caporal Blanche De France
(50cl)
- 
7,40 €
 Chouffe
(50cl)
- 
7,80 €
 Ipa Vedett
(50cl)
- 
5,80 €

aaaaaaaaaaaaa 
2,00 €

4,00 €

aaaaaaaaaaaaaaaaaaaaa 
8,00 €

7,00 €

aaaaaaaaaaaaaaaaaaaa 
8,00 €

1,00 €

aaaaaaaaaaaaa 
2,00 €

8,00 €

aaaaaaaaaaaa 
8,00 €

6,00 €

aaaaaaaaaaaaaaaa 
4,00 €

7,00 €

aaaaaaaaaaa 
3,00 €

6,00 €

aaaaaaaaaaa 
7,00 €

1,00 €

aaaaaaaaaaa 
3,00 €

4,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/cacahuete
Au Fût et à Mesure	"Ouverture
Lundi

17:00 - 02:00

Mardi

17:00 - 02:00

Mercredi

17:00 - 02:00

Jeudi

17:00 - 02:00

Vendredi

17:00 - 02:00

Samedi

17:00 - 03:00

Dimanche

17:00 - 01:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Concerts / Musique Live']	"Happy HourStandardBière(25cl)
3,00 €

- Bière(50cl)
6,00 €

-  Kwak

- 
5,50 €
 Ricard

- 
3,50 €

aaaaaaaaaaaaa 
8,00 €

2,00 €

aaaaaaaaaaaaaaaaa 
4,00 €

4,00 €

aaaaaaaaaaaaaaa 
2,00 €

7,00 €

aaaaaaaaaaaaaa 
5,00 €

4,00 €

aaaaaaaaaaaaaaaaaaa 
2,00 €

2,00 €

aaaaaaaaaaaaaaaaa 
4,00 €

6,00 €

aaaaaaaaaaaaaaa 
5,00 €

7,00 €

aaaaaaaaaaaa 
2,00 €

7,00 €

aaaaaaaaaaaaa 
7,00 €

4,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/au-fut-et-a-mesure-7
